junction,EAg_abs,E0_abs,E_ratio,G_EM_E4
upper_horizontal,15.354412322147116,1.789378795278906,8.5808618961274,5421.552270467539
lower_horizontal,15.354412322147185,1.7893787952789069,8.580861896127434,5421.552270467623
left_vertical,0.17065330833770725,1.8485469645301504,0.09231753999881881,7.263348677377895e-05
right_vertical,0.17065330833770442,1.84854696453015,0.0923175399988173,7.263348677377418e-05
